#managing offices
International Secretariat	Intl Secretariat
CARPO, Cameroon	CARPO
EARPO, Nairobi	EARPO
Madagascar	Madagascar
Nigeria: NCF - Nigerian Conservation Foundation	Nigeria
SARPO, Zimbabwe	SARPO
South Africa	South Africa
Tanzania	Tanzania
WARPO, Ghana	WARPO, Ghana
WARPO, Senegal	WARPO, Senegal
Australia	Australia
