59	Terrestrial	Neotropical	Atlantic Dry Forests	Brazil	
60	Terrestrial	Oceania	Hawaii's Dry Forests	Hawaii (United States)	
61	Terrestrial	Nearctic	Sierra Madre Oriental and Occidental Pine-Oak Forests	Mexico, United States	
62	Terrestrial	Neotropical	Greater Antillean Pine Forests	Cuba, Dominican Republic, Haiti	
63	Terrestrial	Neotropical	Mesoamerican Pine-Oak Forests	El Salvador, Guatemala, Honduras, Mexico, Nicaragua	
64	Terrestrial	Australasia	Eastern Australia Temperate Forests	Australia	
65	Terrestrial	Australasia	Tasmanian Temperate Rain Forests	Australia	
66	Terrestrial	Australasia	New Zealand Temperate Forests	New Zealand	
67	Terrestrial	Indo-Malayan	Eastern Himalayan Broadleaf and Conifer Forests	Bhutan, China, India, Myanmar, Nepal	
68	Terrestrial	Indo-Malayan	Western Himalayan Temperate Forests	Afghanistan, India, Nepal, Pakistan	
69	Terrestrial	Nearctic	Appalachian and Mixed Mesophytic Forests	United States	
70	Terrestrial	Palearctic	Southwest China Temperate Forests	China	
71	Terrestrial	Palearctic	Russian Far East Temperate Forests	Russia	
72	Terrestrial	Nearctic	Pacific Temperate Rainforests	Canada, United States	
73	Terrestrial	Nearctic	Klamath-Siskiyou Coniferous Forests	United States	
74	Terrestrial	Nearctic	Sierra Nevada Coniferous Forests	United States	
75	Terrestrial	Nearctic	Southeastern Coniferous and Broadleaf Forests	United States	
76	Terrestrial	Neotropical	Valdivian Temperate Rainforests / Juan Fernandez Islands	Argentina, Chile	
77	Terrestrial	Palearctic	European-Mediterranean Montane Mixed Forests	Albania, Algeria, Andorra, Austria, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, France, Germany, Greece, Italy, Liechtenstein, Macedonia, Morocco, Poland, Romania, Russia, Slovakia, Slovenia	
78	Terrestrial	Palearctic	Caucasus-Anatolian-Hyrcanian Temperate Forests	Armenia, Azerbaijan, Bulgaria, Georgia, Iran, Russia, Turkey, Turkmenistan	
79	Terrestrial	Palearctic	Altai-Sayan Montane Forests	China, Kazakstan, Mongolia, Russia	
80	Terrestrial	Palearctic	Hengduan Shan Coniferous Forests	China	
81	Terrestrial	Nearctic	Muskwa / Slave Lake Boreal Forests	Canada	
82	Terrestrial	Nearctic	Canadian Boreal Forests	Canada	
83	Terrestrial	Palearctic	Ural Mountains Taiga	Russia	
84	Terrestrial	Palearctic	Eastern Siberian Taiga	Russia	
85	Terrestrial	Palearctic	Kamchatka Taiga and Grasslands	Russia	
86	Terrestrial	Afrotropical	Horn of Africa Acacia Savannas	Eritrea, Ethiopia, Kenya, Somalia, Sudan	
87	Terrestrial	Afrotropical	East African Acacia Savannas	Ethiopia, Kenya, Sudan, Tanzania, Uganda	
88	Terrestrial	Afrotropical	Central and Eastern Miombo Woodlands	Angola, Botswana, Burundi, Democratic Republic of Congo, Malawi, Mozambique, Namibia, Tanzania, Zambia, Zimbabwe	
89	Terrestrial	Afrotropical	Sudanian Savannas	Cameroon, Central African Republic, Chad, Nigeria, Democratic Republic of Congo, Eritrea, Ethiopia, Kenya, Nigeria, Sudan, Uganda	
90	Terrestrial	Australasia	Northern Australia and Trans-Fly Savannas	Australia, Indonesia, Papua New Guinea	
91	Terrestrial	Indo-Malayan	Terai-Duar Savannas and Grasslands	Bangladesh, Bhutan, India, Nepal	
92	Terrestrial	Neotropical	Llanos Savannas	Colombia, Venezuela	
93	Terrestrial	Neotropical	Cerrado Woodlands and Savannas	Bolivia, Brazil, Paraguay	
94	Terrestrial	Nearctic	Northern Prairie	Canada, United States	
95	Terrestrial	Neotropical	Patagonian Steppe	Argentina, Chile	
96	Terrestrial	Palearctic	Daurian Steppe	China, Mongolia, Russia	
97	Terrestrial	Afrotropical	Sudd-Sahelian Flooded Grasslands and Savannas	Cameroon, Chad, Ethiopia, Mali, Niger, Nigeria, Sudan, Uganda	
98	Terrestrial	Afrotropical	Zambezian Flooded Savannas	Angola, Botswana, Democratic Republic of Congo, Malawi, Mozambique, Namibia, Tanzania, Zambia	
99	Terrestrial	Indo-Malayan	Rann of Kutch Flooded Grasslands	India, Pakistan	
100	Terrestrial	Neotropical	Everglades Flooded Grasslands	United States	
101	Terrestrial	Neotropical	Pantanal Flooded Savannas	Bolivia, Brazil, Paraguay	
102	Terrestrial	Afrotropical	Ethiopian Highlands	Eritrea, Ethiopia, Sudan	
103	Terrestrial	Afrotropical	Southern Rift Montane Woodlands	Malawi, Mozambique, Tanzania, Zambia	
104	Terrestrial	Afrotropical	East African Moorlands	Democratic Republic of Congo, Kenya, Rwanda, Tanzania, Uganda	
105	Terrestrial	Afrotropical	Drakensberg Montane Shrublands and Woodlands	Lesotho, South Africa, Swaziland	
106	Terrestrial	Australasia	Central Range Subalpine Grasslands	Indonesia, Papua New Guinea	
107	Terrestrial	Indo-Malayan	Kinabalu Montane Scrub	Malaysia	
108	Terrestrial	Neotropical	Northern Andean Paramo	Colombia, Ecuador, Peru, Venezuela	
109	Terrestrial	Neotropical	Central Andean Dry Puna	Argentina, Bolivia, Chile, Peru	
110	Terrestrial	Palearctic	Tibetan Plateau Steppe	Afghanistan, China, India, Pakistan, Tajikistan	
111	Terrestrial	Palearctic	Middle Asian Montane Steppe and Woodlands	Afghanistan, China, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan	
112	Terrestrial	Palearctic	Eastern Himalayan Alpine Meadows	Bhutan, China, India, Myanmar, Nepal	
113	Terrestrial	Nearctic	Alaskan North Slope Coastal Tundra	Canada, United States	
114	Terrestrial	Nearctic	Canadian Low Arctic Tundra	Canada	
115	Terrestrial	Palearctic	Fenno-Scandia Alpine Tundra and Taiga	Finland, Norway, Russia, Sweden	
116	Terrestrial	Palearctic	Taimyr and Siberian Coastal Tundra	Russia	
117	Terrestrial	Palearctic	Chukote Coastal Tundra	Russia	
118	Terrestrial	Afrotropical	Fynbos	South Africa	
119	Terrestrial	Australasia	Southwestern Australia Forests and Scrub	Australia	
120	Terrestrial	Australasia	Southern Australia Mallee and Woodlands	Australia	
121	Terrestrial	Nearctic	California Chaparral and Woodlands	Mexico, United States	
122	Terrestrial	Neotropical	Chilean Matorral	Chile	
123	Terrestrial	Palearctic	Mediterranean Forests, Woodlands and Scrub	Albania, Algeria, Bosnia and Herzegovina, Bulgaria, Canary Islands (Spain), Croatia, Cyprus, Egypt, France, Gibraltar (United Kingdom), Greece, Iraq, Israel, Italy, Jordan, Lebanon, Libya, Macedonia, Madeira Islands (Portugal), Malta, Monaco, Morocco, Portugal, San Marino, Slovenia, Spain, Syria, Tunisia, Turkey, Western Sahara (Morocco), Yugoslavia	
124	Terrestrial	Afrotropical	Namib-Karoo-Kaokeveld Deserts	Angola, Namibia, South Africa	
125	Terrestrial	Afrotropical	Madagascar Spiny Thicket	Madagascar	
126	Terrestrial	Afrotropical	Socotra Island Desert	Yemen	
127	Terrestrial	Afrotropical	Arabian Highland Woodlands and Shrublands	Oman, Saudi Arabia, United Arab Emirates, Yemen	
128	Terrestrial	Australasia	Carnavon Xeric Scrub	Australia	
129	Terrestrial	Australasia	Great Sandy-Tanami Deserts	Australia	
130	Terrestrial	Nearctic	Sonoran-Baja Deserts	Mexico, United States	
131	Terrestrial	Nearctic	Chihuahuan-Tehuacan Deserts	Mexico, United States	
132	Terrestrial	Neotropical	Galapagos Islands Scrub	Ecuador	
133	Terrestrial	Neotropical	Atacama-Sechura Deserts	Chile, Peru	
134	Terrestrial	Palearctic	Central Asian Deserts	Kazakstan, Kyrgyzstan, Uzbekistan, Turkmenistan	
135	Terrestrial	Afrotropical	Gulf of Guinea Mangroves	Angola, Cameroon, Democratic Republic of Congo, Equatorial Guinea, Gabon, Ghana, Nigeria	
136	Terrestrial	Afrotropical	East African Mangroves	Kenya, Mozambique, Somalia, Tanzania	
137	Terrestrial	Afrotropical	Madagascar Mangroves	Madagascar	
138	Terrestrial	Australasia	New Guinea Mangroves	Indonesia, Papua New Guinea	
139	Terrestrial	Indo-Malayan	Sundarbans Mangroves	Bangladesh, India	
140	Terrestrial	Indo-Malayan	Greater Sundas Mangroves	Brunei, Indonesia, Malaysia	
141	Terrestrial	Neotropical	Guianan-Amazon Mangroves	Brazil, French Guiana (France), Suriname, Trinidad and Tobago, Venezuela	
142	Terrestrial	Neotropical	Panama Bight Mangroves	Colombia, Ecuador, Panama, Peru	
143	Freshwater	Afrotropical	Congo River and Flooded Forests	Angola, Democratic Republic of Congo, Republic of Congo	
144	Freshwater	Indo-Malayan	Mekong River	Cambodia, China, Laos, Myanmar, Thailand, Vietnam	
145	Freshwater	Nearctic	Colorado River	Mexico, United States	
146	Freshwater	Nearctic	Lower Mississippi River	United States	
147	Freshwater	Neotropical	Amazon River and Flooded Forests	Brazil, Colombia, Peru	
148	Freshwater	Neotropical	Orinoco River and Flooded Forests	Brazil, Colombia, Venezuela	
149	Freshwater	Palearctic	Yangtze River and Lakes	China	
150	Freshwater	Afrotropical	Congo Basin Piedmont Rivers and Streams	Angola, Cameroon, Central African Republic, Democratic Republic of Congo, Gabon, Republic of Congo, Sudan	
151	Freshwater	Nearctic	Mississippi Piedmont Rivers and Streams	United States	
152	Freshwater	Neotropical	Upper Amazon Rivers and Streams	Bolivia, Brazil, Colombia, Ecuador, French Guiana (France), Guyana, Peru, Suriname, Venezuela	
153	Freshwater	Neotropical	Upper Parana Rivers and Streams	Argentina, Brazil, Paraguay	
154	Freshwater	Neotropical	Brazilian Shield Amazonian Rivers and Streams	Bolivia, Brazil, Paraguay	
155	Freshwater	Afrotropical	Niger River Delta	Nigeria	
156	Freshwater	Indo-Malayan	Indus River Delta	India, Pakistan	
157	Freshwater	Palearctic	Volga River Delta	Kazakhstan, Russia	
158	Freshwater	Palearctic	Mesopotamian Delta and Marshes	Iran, Iraq, Kuwait	
159	Freshwater	Palearctic	Danube River Delta	Bulgaria, Moldova, Romania, Ukraine, Yugoslavia	
160	Freshwater	Palearctic	Lena River Delta	Russia	
161	Freshwater	Afrotropical	Upper Guinea Rivers and Streams	Cote D'Ivoire, Guinea, Liberia, Sierra Leone	
162	Freshwater	Afrotropical	Madagascar Freshwater	Madagascar	
163	Freshwater	Afrotropical	Gulf of Guinea Rivers and Streams	Angola, Cameroon, Democratic Republic of Congo, Equatorial Guinea, Gabon, Nigeria, Republic of Congo	
164	Freshwater	Afrotropical	Cape Rivers and Streams	South Africa	
165	Freshwater	Australasia	New Guinea Rivers and Streams	Indonesia, Papua New Guinea	
166	Freshwater	Australasia	New Caledonia Rivers and Streams	New Caledonia (France)	
167	Freshwater	Australasia	Kimberley Rivers and Streams	Australia	
168	Freshwater	Australasia	Southwest Australia Rivers and Streams	Australia	
169	Freshwater	Australasia	Eastern Australia Rivers and Streams	Australia	
170	Freshwater	Indo-Malayan	Xi Jiang Rivers and Streams	China, Vietnam	
171	Freshwater	Indo-Malayan	Western Ghats Rivers and Streams	India	
172	Freshwater	Indo-Malayan	Southwestern Sri Lanka Rivers and Streams	Sri Lanka	
173	Freshwater	Indo-Malayan	Salween River	China, Myanmar, Thailand	
174	Freshwater	Indo-Malayan	Sundaland Rivers and Swamps	Brunei, Malaysia, Indonesia, Singapore	
175	Freshwater	Nearctic	Southeastern Rivers and Streams	United States	
176	Freshwater	Nearctic	Pacific Northwest Coastal Rivers and Streams	United States	
177	Freshwater	Nearctic	Gulf of Alaska Coastal Rivers and Streams	Canada, United States	
178	Freshwater	Neotropical	Guianan Freshwater	Brazil, French Guiana (France), Guyana, Suriname, Venezuela	
179	Freshwater	Neotropical	Greater Antillean Freshwater	Cuba, Dominican Republic, Haiti, Puerto Rico (United States)	
180	Freshwater	Palearctic	Balkan Rivers and Streams	Albania, Bosnia and Herzogovina, Bulgaria, Croatia, Greece, Macedonia, Turkey, Yugoslavia	
181	Freshwater	Palearctic	Russian Far East Rivers and Wetlands	China, Mongolia, Russia	
182	Freshwater	Afrotropical	Rift Valley Lakes	Burundi, Democratic Republic of Congo, Ethiopia, Kenya, Malawi, Mozambique, Rwanda, Tanzania, Uganda, Zambia	
183	Freshwater	Neotropical	High Andean Lakes	Argentina, Bolivia, Chile, Peru	
